74	+	22	=	
4	-	1	=	
63	+	25	=	
63	-	57	=	
7	+	64	=	
91	-	5	=	
2	+	75	=	
45	-	21	=	
10	+	55	=	
70	-	10	=	
16	+	25	=	
48	-	2	=	
83	+	8	=	
42	-	24	=	
67	+	3	=	
91	-	3	=	
98	+	1	=	
63	-	36	=	
58	+	9	=	
19	-	8	=	
18	+	57	=	
28	-	19	=	
22	+	13	=	
70	-	21	=	
96	+	0	=	
26	-	20	=	
41	+	20	=	
26	-	12	=	
61	+	11	=	
64	-	22	=	
6	+	89	=	
41	-	33	=	
53	+	16	=	
42	-	22	=	
16	+	42	=	
48	-	6	=	
72	+	22	=	
77	-	54	=	
76	+	17	=	
62	-	16	=	
13	+	21	=	
29	-	5	=	
44	+	24	=	
3	-	1	=	
63	+	17	=	
27	-	1	=	
41	+	30	=	
29	-	14	=	
63	+	36	=	
46	-	22	=	
70	+	27	=	
79	-	61	=	
69	+	7	=	
10	-	1	=	
93	+	0	=	
26	-	0	=	
56	+	15	=	
30	-	15	=	
70	+	24	=	
7	-	0	=	
53	+	45	=	
88	-	29	=	
21	+	27	=	
99	-	84	=	
40	+	19	=	
10	-	1	=	
97	+	2	=	
69	-	53	=	
88	+	2	=	
53	-	34	=	
16	+	55	=	
74	-	43	=	
78	+	5	=	
53	-	25	=	
20	+	67	=	
43	-	28	=	
10	+	54	=	
25	-	20	=	
7	+	21	=	
49	-	8	=	
89	+	0	=	
70	-	41	=	
48	+	9	=	
57	-	45	=	
67	+	3	=	
28	-	23	=	
73	+	10	=	
75	-	0	=	
56	+	25	=	
93	-	67	=	
56	+	21	=	
59	-	9	=	
47	+	36	=	
75	-	64	=	
93	+	0	=	
33	-	19	=	
26	+	13	=	
98	-	15	=	
39	+	32	=	
75	-	40	=	
72	+	10	=	
15	-	3	=	
25	+	2	=	
8	-	3	=	
9	+	84	=	
2	-	1	=	
84	+	1	=	
69	-	19	=	
81	+	7	=	
85	-	23	=	
27	+	30	=	
90	-	4	=	
